,price,ranks,title,average_rating,no_of_reviews,author,cover_type,year,genre
353,5.79,74,Lord of the Flies,4.5,43931,William Golding,Mass Market Paperback,2014,Fiction
354,6.27,75,Night (Night),4.7,19811,Elie Wiesel,Paperback,2014,Non Fiction
355,8.93,76,The Catcher in the Rye,4.5,34335,J.D. Salinger,Mass Market Paperback,2014,Fiction
356,15.1,77,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",4.6,285,Zhi Gang Sha,Hardcover,2014,Non Fiction
357,8.53,78,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",4.8,25465,Valorie Schaefer,Paperback,2014,Non Fiction
358,17.89,79,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor",4.7,8606,Gina Homolka,Hardcover,2014,Non Fiction
359,8.36,80,Fahrenheit 451,4.6,46708,Ray Bradbury,Paperback,2014,Fiction
360,4.78,1,First 100 Words: A Padded Board Book,4.7,36371,Roger Priddy,Board book,2015,Non Fiction
361,8.89,2,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,58294,Marie KondÅ,Hardcover,2015,Non Fiction
362,4.99,3,Laugh-Out-Loud Jokes for Kids,4.6,11593,Rob Elliott,Paperback,2015,Non Fiction
363,13.95,4,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,4.7,15320,Johanna Basford,Paperback,2015,Non Fiction
364,20.96,5,StrengthsFinder 2.0,4.1,8109,Gallup,Hardcover,2015,Non Fiction
365,18.0,6,Go Set a Watchman: A Novel,3.8,52131,Harper Lee,Hardcover,2015,Fiction
366,12.15,7,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",4.7,8233,Johanna Basford,Paperback,2015,Non Fiction
367,18.26,8,All the Light We Cannot See,4.5,212137,Anthony Doerr,Hardcover,2015,Fiction
368,11.38,9,The Girl on the Train,4.1,335718,Paula Hawkins,Hardcover,2015,Fiction
369,6.91,10,Adult Coloring Book: Stress Relieving Patterns,4.5,4309,Blue Star Coloring,Paperback,2015,Non Fiction
370,11.0,11,Diary of a Wimpy Kid #10: Old School,4.7,30205,Jeff Kinney,Hardcover,2015,Fiction
371,21.47,12,To Kill a Mockingbird,4.7,128002,Harper Lee,Mass Market Paperback,2015,Fiction
372,7.99,13,Adult Coloring Book: Stress Relieving Animal Designs,4.6,3972,Blue Star Coloring,Paperback,2015,Non Fiction
373,8.99,14,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",4.5,3174,Coloring Books for Adults,Paperback,2015,Non Fiction
374,15.96,15,Humans of New York : Stories,4.9,5316,Brandon Stanton,Hardcover,2015,Non Fiction
375,10.41,16,The Martian,4.7,161434,Andy Weir,Paperback,2015,Fiction
376,8.48,17,"Oh, the Places You'll Go!Â Â ",4.9,45619,Dr. Seuss,Hardcover,2015,Fiction
377,4.99,18,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),4.5,5902,Rob Elliott,Paperback,2015,Fiction
378,5.0,19,Dear Zoo: A Lift-the-Flap Book,4.8,27625,Rod Campbell,Board book,2015,Fiction
379,9.4,20,The Day the Crayons Quit,4.8,22138,Drew Daywalt,Hardcover,2015,Fiction
